date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2022-06-08,0553807056,0316068047,0312348673,0399154183,0385517882,0399155007,0446195979,0441015891,1416566384,0778325504,0061160873,0307265730,0061537934,0778325504,0525950605,0061236217,0307265730,0307377040,0385515049,0345501284
2022-06-15,0425222195,0316068047,0553807056,0312348673,0399155007,0743290119,0399154183,0385524285,0446195979,0385517882,006123088X,1416566384,0778325504,0061537934,0061160873,0441015891,0060829850,0307265730,0375504338,0307265730
2022-06-22,0385340567,0316068047,0399154973,0312348673,0425222195,0743290119,0553807056,0399155007,0399154981,0385517882,0385524285,0446195979,006123088X,0399154183,0061537934,1400066026,0393041654,0375504338,039915504X,1416566384
2022-06-29,0316018708,0385340567,0316068047,0399154973,0312348673,0743290119,1416549978,0553807056,0312341814,0399155007,0399154981,0425222195,0061537934,0061374229,0385524285,0385515049,1400066026,0385517882,1594489580,006123088X
2022-07-06,0312349513,0316018708,0316068047,0743290119,0312348673,0385340567,0399154973,1416549978,0061374229,1416537325,0670018856,0553807056,0312341814,0399155007,0061537934,0425222195,0385517882,0399154981,1400066026,0446195979
2022-07-13,0312349513,0316018708,0399155031,0385340257,0316068047,0061374229,0061230944,0743290119,0670018856,0312348673,0385340567,1416549978,0399154973,0553807056,0679456805,1416537325,0061537934,0399155007,0312341814,006085202X
2022-07-20,141654383X,0312349513,0316018708,0399155031,0061374229,0316068047,0743281640,0385340257,0345486544,0670018856,0312348673,0061230944,0743290119,1416549978,0385340567,0679456805,0061537934,0399154973,0316018600,0553807056
2022-07-27,0399154914,0312349513,141654383X,0061374229,1416548521,0316018708,0316068047,0399155031,0670018856,0312348673,0743281640,0743290119,0385340257,0345486544,0312367996,0061230944,0061537934,0316018600,0679456805,1416549978
2022-08-03,0399154914,0061374229,0385524064,0316068047,141654383X,0316018708,0312349513,0385492723,1416548521,0743290119,0399155031,0553804332,0312348673,0670018856,0399155058,0743281640,0061537934,1594489505,0061230944,0375504338
2022-08-10,0451224507,0061374229,0316068047,0399154914,141654383X,0316018708,0345501535,0060746769,0312349513,0743290119,0385524064,1416548521,0385492723,0553804332,0312348673,0670018856,0399155031,0765315017,0061537934,0743281640
2022-08-17,0451224507,0446539864,0316068047,0061374229,0385340990,0399154914,0061624764,141654383X,0316018708,0743290119,0060746769,0312349513,034550898X,0312348673,0385341954,0385492723,0670018856,1416548521,0385524064,0553804332
2022-08-24,0312362153,0446539864,0385340990,0451224507,0316068047,0061374229,0061624764,0399154914,0399155023,141654383X,0743290119,0312323573,0312348673,0385524943,0316018708,034550898X,0060746769,0670018856,0385524064,0312349513
